,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
135,135,3 BHK Apartment,1,Semi-Furnished,Family,1834 sqft,"38,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
136,136,3 BHK Apartment,4,Semi-Furnished,Family,2265 sqft,"36,000"," Rainbow Vistas Rock Gardens, Hitech City ",500018
137,137,2 BHK Apartment,1,Unfurnished,Bachelors,1140 sqft,"11,500"," Beeramguda, Ramachandra Puram, NH ",502032
138,138,3 BHK Apartment,1,Semi-Furnished,Family,1520 sqft,"17,500", Uppal Kalan ,No code
139,139,3 BHK Apartment,1,Semi-Furnished,Bachelors,1750 sqft,"48,000"," Gachibowli, Outer Ring Road ",No code
140,140,2 BHK Apartment,1,Unfurnished,Bachelors/Family,890 sqft,"8,000", Medipally ,500098
141,141,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2160 sqft,"38,000"," Lodha Casa Paradiso, Sanath Nagar, NH ",500018
142,142,3 BHK Apartment,2,Unfurnished,Family,1800 sqft,"32,000", ,
143,143,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2245 sqft,"32,000"," Hafeezpet, NH ",No code
144,144,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1700 sqft,"40,000"," Banjara Hills, NH ",500034
145,145,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1200 sqft,"13,000"," Chatta Bazaar, Pathar Gatti ",No code
146,146,3 BHK Builder Floor,2,Unfurnished,Bachelors,2000 sqft,"20,000", Hyderabad ,No code
