,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
829,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"7,500", Aminpur 
830,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"11,000", Masab Tank 
831,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,NaN,"10,000", Gajularamaram
832,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,"10,000"," Saroor Nagar East, Saroornagar, NH "
833,3 BHK Apartment,1,Furnished,Bachelors/Family,1500 sqft,"35,000", Hitech City 
834,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1750 sqft,"28,000", Hitech City 
835,2 BHK Service Apartment,Immediately,Furnished,Bachelors/Family,50 sqyrd,"26,000"," Gachibowli, Outer Ring Road "
836,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,NaN,"7,000", Moti
837,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1350 sqft,"18,500"," Moosapet, NH "
838,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1250 sqft,"15,000"," Kukatpally, NH "
839,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1100 sqft,"16,000"," Sangeet Nagar, Kukatpally, NH "
840,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1408 sqft,"12,000", Kothapet 
